Comment,Designator,Footprint,LCSC
1k,"R11,R6",R_0805_2012Metric,C17513
22k,"R1,R2,R37",R_0805_2012Metric,C17560
240,R3,R_0805_2012Metric,C17572
47k,"R10,R9",R_0805_2012Metric,C17713
10k,"R5,R7,R8",R_0805_2012Metric,C17724
47u,"C7,C8",CP_Elec_10x10,C178377
3k6,R4,R_0805_2012Metric,C18359
500 mA,"F1,F2",Fuse_2920_7451Metric,C269176
100n,"C1,C5,C6",D_0805_2012Metric,C28233
1u,"C2,C3,C4",D_0805_2012Metric,C28323
100,"R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36",R_1210_3225Metric,C31885
30N06,Q4,TO-252-2,C369599
BC856B,Q3,SOT-23,C424398
100k,RV1,Potentiometer_Bourns_3296W_Vertical,C48084
SM4007PL,"D1,D2",D_SOD-123F,C64898
LM317_TO-252,U1,TO-252-2,C75510
LM393,U2,SOIC-8_3.9x4.9mm_P1.27mm,C7955
LED,D3,LED_0805_2012Metric,C84256
BC846B,"Q1,Q2",SOT-23,C87062
